,name,price,img,featuress
0,Maruti Celerio,Rs.4.99 - 6.94 Lakh,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Celerio/8454/1636538243608/front-left-side-47.jpg?impolicy=resize&imwidth=480,"Petrol24.97 to 26.68 kmplManual/Automatic
View Festival Offers"
1,Maruti Vitara Brezza,Rs.7.61 - 11.19 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol17.03 to 18.76 kmplManual/Automatic
View Festival Offers"
2,Maruti Ertiga,Rs.7.96 - 10.69 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG17.99 kmpl to 26.08 km/kgManual/Automatic
View Festival Offers"
3,Maruti Swift,Rs.5.85 - 8.67 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol23.2 to 23.76 kmplManual/Automatic
View Festival Offers"
4,Maruti Baleno,Rs.5.99 - 9.45 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol19.56 to 23.87 kmplManual/Automatic
View Festival Offers"
5,Maruti Dzire,Rs.5.99 - 9.08 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol23.26 to 24.12 kmplManual/Automatic
View Festival Offers"
6,Maruti Wagon R,Rs.4.93 - 6.45 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG20.52 kmpl to 32.52 km/kgManual/Automatic
View Festival Offers"
7,Maruti Alto 800,Rs.3.15 - 4.82 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG22.05 kmpl to 31.59 km/kgManual
View Festival Offers"
8,Maruti S-Cross,Rs.8.59 - 12.56 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol18.43 to 18.55 kmplManual/Automatic
View Festival Offers"
9,Maruti XL6,Rs.9.98 - 11.86 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol17.99 to 19.01 kmplManual/Automatic
View Festival Offers"
10,Maruti S-Presso,Rs.3.78 - 5.43 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG21.4 kmpl to 31.2 km/kgManual/Automatic
View Festival Offers"
11,Maruti Ciaz,Rs.8.72 - 11.71 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol20.04 to 20.65 kmplManual/Automatic
View Festival Offers"
12,Maruti Ignis,Rs.5.10 - 7.47 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol20.89 kmplManual/Automatic
View Festival Offers"
13,Maruti Eeco,Rs.4.30 - 5.60 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG16.11 kmpl to 20.88 km/kgManual
View Festival Offers"
14,Maruti Swift Dzire Tour,Rs.6.02 - 6.96 Lakh,https://stimg.cardekho.com/pwa/img/spacer3x2.png,"Petrol/CNG19.95 kmpl to 26.55 km/kgManual
View Festival Offers"
